"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 07:22:17 GMT 2024","Fri Jun 14 07:22:17 GMT 2024","7","tests.api","test_get_users","","","","test_get_users_no_auth_header",""
"passed","Fri Jun 14 07:22:15 GMT 2024","Fri Jun 14 07:22:15 GMT 2024","317","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Fri Jun 14 07:22:16 GMT 2024","Fri Jun 14 07:22:16 GMT 2024","14","tests.api","test_api_signup","","","","test_should_return_400_if_username_too_short",""
"passed","Fri Jun 14 07:22:17 GMT 2024","Fri Jun 14 07:22:17 GMT 2024","53","tests.api","test_get_users","","","","test_successful_get_users",""
"passed","Fri Jun 14 07:22:30 GMT 2024","Fri Jun 14 07:22:31 GMT 2024","1095","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 07:22:17 GMT 2024","Fri Jun 14 07:22:17 GMT 2024","8","tests.api","test_get_users","","","","test_failed_get_users_with_bad_token",""
"passed","Fri Jun 14 07:22:32 GMT 2024","Fri Jun 14 07:22:33 GMT 2024","688","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 07:22:44 GMT 2024","Fri Jun 14 07:22:44 GMT 2024","50","tests.ui","test_register","","","","test_cancel_registration_opens_login_page",""
"passed","Fri Jun 14 07:22:34 GMT 2024","Fri Jun 14 07:22:35 GMT 2024","730","tests.ui","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 14 07:22:15 GMT 2024","Fri Jun 14 07:22:16 GMT 2024","304","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 14 07:22:16 GMT 2024","Fri Jun 14 07:22:16 GMT 2024","399","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Fri Jun 14 07:22:43 GMT 2024","Fri Jun 14 07:22:44 GMT 2024","859","tests.ui","test_register","","","","test_successful_registration_and_login",""
"passed","Fri Jun 14 07:22:42 GMT 2024","Fri Jun 14 07:22:42 GMT 2024","689","tests.ui","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 07:22:14 GMT 2024","Fri Jun 14 07:22:15 GMT 2024","783","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 14 07:22:16 GMT 2024","Fri Jun 14 07:22:16 GMT 2024","22","tests.api","test_api_signup","","","","test_should_return_400_if_email_invalid",""
"passed","Fri Jun 14 07:22:40 GMT 2024","Fri Jun 14 07:22:40 GMT 2024","44","tests.ui","test_home","","","","test_successful_login",""
"passed","Fri Jun 14 07:22:36 GMT 2024","Fri Jun 14 07:22:38 GMT 2024","2504","tests.ui","test_edit","","","","test_edit",""
"passed","Fri Jun 14 07:22:40 GMT 2024","Fri Jun 14 07:22:41 GMT 2024","683","tests.ui","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 07:22:15 GMT 2024","Fri Jun 14 07:22:15 GMT 2024","18","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 14 07:22:16 GMT 2024","Fri Jun 14 07:22:16 GMT 2024","10","tests.api","test_api_signup","","","","test_should_return_400_if_password_too_short",""
