"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 06:10:30 GMT 2024","Fri Jun 14 06:10:30 GMT 2024","15","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 14 06:10:29 GMT 2024","Fri Jun 14 06:10:30 GMT 2024","755","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 14 06:10:31 GMT 2024","Fri Jun 14 06:10:31 GMT 2024","8","tests.api","test_api_signup","","","","test_should_return_400_if_password_too_short",""
"passed","Fri Jun 14 06:10:44 GMT 2024","Fri Jun 14 06:10:45 GMT 2024","681","tests.ui","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 06:10:35 GMT 2024","Fri Jun 14 06:10:35 GMT 2024","680","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 06:10:47 GMT 2024","Fri Jun 14 06:10:47 GMT 2024","49","tests.ui","test_register","","","","test_cancel_registration_opens_login_page",""
"passed","Fri Jun 14 06:10:31 GMT 2024","Fri Jun 14 06:10:31 GMT 2024","24","tests.api","test_api_signup","","","","test_should_return_400_if_email_invalid",""
"passed","Fri Jun 14 06:10:30 GMT 2024","Fri Jun 14 06:10:31 GMT 2024","318","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Fri Jun 14 06:10:31 GMT 2024","Fri Jun 14 06:10:31 GMT 2024","12","tests.api","test_api_signup","","","","test_should_return_400_if_username_too_short",""
"passed","Fri Jun 14 06:10:32 GMT 2024","Fri Jun 14 06:10:32 GMT 2024","10","tests.api","test_get_users","","","","test_failed_get_users_with_bad_token",""
"passed","Fri Jun 14 06:10:33 GMT 2024","Fri Jun 14 06:10:34 GMT 2024","700","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 06:10:32 GMT 2024","Fri Jun 14 06:10:32 GMT 2024","43","tests.api","test_get_users","","","","test_successful_get_users",""
"passed","Fri Jun 14 06:10:31 GMT 2024","Fri Jun 14 06:10:31 GMT 2024","303","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 14 06:10:39 GMT 2024","Fri Jun 14 06:10:41 GMT 2024","2511","tests.ui","test_edit","","","","test_edit",""
"passed","Fri Jun 14 06:10:37 GMT 2024","Fri Jun 14 06:10:37 GMT 2024","665","tests.ui","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 14 06:10:42 GMT 2024","Fri Jun 14 06:10:42 GMT 2024","42","tests.ui","test_home","","","","test_successful_login",""
"passed","Fri Jun 14 06:10:32 GMT 2024","Fri Jun 14 06:10:32 GMT 2024","9","tests.api","test_get_users","","","","test_get_users_no_auth_header",""
"passed","Fri Jun 14 06:10:31 GMT 2024","Fri Jun 14 06:10:31 GMT 2024","353","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Fri Jun 14 06:10:45 GMT 2024","Fri Jun 14 06:10:46 GMT 2024","863","tests.ui","test_register","","","","test_successful_registration_and_login",""
"passed","Fri Jun 14 06:10:43 GMT 2024","Fri Jun 14 06:10:44 GMT 2024","681","tests.ui","test_login","","","","test_successful_login",""
