"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 14 06:31:36 GMT 2024","Fri Jun 14 06:31:36 GMT 2024","1","tests.api","test_api_login","","","","test_successful_api_login",""
"broken","Fri Jun 14 06:31:36 GMT 2024","Fri Jun 14 06:31:36 GMT 2024","1","tests.api","test_api_signup","","","","test_should_return_400_if_email_invalid",""
"broken","Fri Jun 14 06:31:41 GMT 2024","Fri Jun 14 06:31:41 GMT 2024","0","tests.ui","test_home","","","","test_successful_login",""
"broken","Fri Jun 14 06:31:36 GMT 2024","Fri Jun 14 06:31:36 GMT 2024","1","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"broken","Fri Jun 14 06:31:36 GMT 2024","Fri Jun 14 06:31:36 GMT 2024","1","tests.api","test_get_users","","","","test_get_users_no_auth_header",""
"broken","Fri Jun 14 06:31:36 GMT 2024","Fri Jun 14 06:31:36 GMT 2024","1","tests.api","test_get_users","","","","test_failed_get_users_with_bad_token",""
"broken","Fri Jun 14 06:31:36 GMT 2024","Fri Jun 14 06:31:36 GMT 2024","1","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Fri Jun 14 06:31:43 GMT 2024","Fri Jun 14 06:31:44 GMT 2024","687","tests.ui","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 06:31:46 GMT 2024","Fri Jun 14 06:31:46 GMT 2024","50","tests.ui","test_register","","","","test_cancel_registration_opens_login_page",""
"broken","Fri Jun 14 06:31:36 GMT 2024","Fri Jun 14 06:31:36 GMT 2024","1","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"broken","Fri Jun 14 06:31:36 GMT 2024","Fri Jun 14 06:31:36 GMT 2024","2","tests.api","test_api_signup","","","","test_should_return_400_if_password_too_short",""
"broken","Fri Jun 14 06:31:36 GMT 2024","Fri Jun 14 06:31:36 GMT 2024","2","tests.api","test_api_signup","","","","test_should_return_400_if_username_too_short",""
"passed","Fri Jun 14 06:31:37 GMT 2024","Fri Jun 14 06:31:39 GMT 2024","1218","tests","test_login","","","","test_successful_login",""
"broken","Fri Jun 14 06:31:40 GMT 2024","Fri Jun 14 06:31:40 GMT 2024","0","tests.ui","test_edit","","","","test_autocomplete",""
"broken","Fri Jun 14 06:31:40 GMT 2024","Fri Jun 14 06:31:40 GMT 2024","0","tests.ui","test_edit","","","","test_edit",""
"broken","Fri Jun 14 06:31:36 GMT 2024","Fri Jun 14 06:31:36 GMT 2024","0","tests.api","test_get_users","","","","test_successful_get_users",""
"passed","Fri Jun 14 06:31:42 GMT 2024","Fri Jun 14 06:31:42 GMT 2024","690","tests.ui","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 06:31:39 GMT 2024","Fri Jun 14 06:31:40 GMT 2024","685","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 06:31:44 GMT 2024","Fri Jun 14 06:31:45 GMT 2024","874","tests.ui","test_register","","","","test_successful_registration_and_login",""
"broken","Fri Jun 14 06:31:36 GMT 2024","Fri Jun 14 06:31:36 GMT 2024","0","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
