"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 09:30:26 GMT 2024","Fri Jun 14 09:30:27 GMT 2024","305","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 14 09:30:28 GMT 2024","Fri Jun 14 09:30:28 GMT 2024","11","tests.api","test_get_users","","","","test_failed_get_users_with_bad_token",""
"passed","Fri Jun 14 09:30:34 GMT 2024","Fri Jun 14 09:30:37 GMT 2024","2528","tests.ui","test_edit","","","","test_edit",""
"passed","Fri Jun 14 09:30:30 GMT 2024","Fri Jun 14 09:30:31 GMT 2024","692","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 09:30:41 GMT 2024","Fri Jun 14 09:30:42 GMT 2024","878","tests.ui","test_register","","","","test_successful_registration_and_login",""
"passed","Fri Jun 14 09:30:29 GMT 2024","Fri Jun 14 09:30:30 GMT 2024","763","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 09:30:43 GMT 2024","Fri Jun 14 09:30:43 GMT 2024","49","tests.ui","test_register","","","","test_cancel_registration_opens_login_page",""
"passed","Fri Jun 14 09:30:27 GMT 2024","Fri Jun 14 09:30:27 GMT 2024","349","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Fri Jun 14 09:30:27 GMT 2024","Fri Jun 14 09:30:27 GMT 2024","13","tests.api","test_api_signup","","","","test_should_return_400_if_username_too_short",""
"passed","Fri Jun 14 09:30:38 GMT 2024","Fri Jun 14 09:30:38 GMT 2024","50","tests.ui","test_home","","","","test_successful_login",""
"passed","Fri Jun 14 09:30:27 GMT 2024","Fri Jun 14 09:30:27 GMT 2024","11","tests.api","test_api_signup","","","","test_should_return_400_if_password_too_short",""
"passed","Fri Jun 14 09:30:25 GMT 2024","Fri Jun 14 09:30:26 GMT 2024","788","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 14 09:30:27 GMT 2024","Fri Jun 14 09:30:27 GMT 2024","24","tests.api","test_api_signup","","","","test_should_return_400_if_email_invalid",""
"passed","Fri Jun 14 09:30:28 GMT 2024","Fri Jun 14 09:30:28 GMT 2024","50","tests.api","test_get_users","","","","test_successful_get_users",""
"passed","Fri Jun 14 09:30:28 GMT 2024","Fri Jun 14 09:30:28 GMT 2024","13","tests.api","test_get_users","","","","test_get_users_no_auth_header",""
"passed","Fri Jun 14 09:30:39 GMT 2024","Fri Jun 14 09:30:40 GMT 2024","696","tests.ui","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 09:30:32 GMT 2024","Fri Jun 14 09:30:33 GMT 2024","669","tests.ui","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 14 09:30:26 GMT 2024","Fri Jun 14 09:30:26 GMT 2024","317","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Fri Jun 14 09:30:40 GMT 2024","Fri Jun 14 09:30:41 GMT 2024","692","tests.ui","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 09:30:26 GMT 2024","Fri Jun 14 09:30:26 GMT 2024","18","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
