"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 14 07:03:11 GMT 2024","Fri Jun 14 07:03:12 GMT 2024","49","tests.ui","test_register","","","","test_cancel_registration_opens_login_page",""
"passed","Fri Jun 14 07:03:09 GMT 2024","Fri Jun 14 07:03:09 GMT 2024","683","tests.ui","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 07:03:07 GMT 2024","Fri Jun 14 07:03:08 GMT 2024","684","tests.ui","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 07:02:57 GMT 2024","Fri Jun 14 07:02:57 GMT 2024","9","tests.api","test_get_users","","","","test_failed_get_users_with_bad_token",""
"passed","Fri Jun 14 07:02:59 GMT 2024","Fri Jun 14 07:03:00 GMT 2024","688","tests","test_login","","","","test_failed_login",""
"passed","Fri Jun 14 07:03:03 GMT 2024","Fri Jun 14 07:03:05 GMT 2024","2507","tests.ui","test_edit","","","","test_edit",""
"passed","Fri Jun 14 07:02:56 GMT 2024","Fri Jun 14 07:02:57 GMT 2024","46","tests.api","test_get_users","","","","test_successful_get_users",""
"passed","Fri Jun 14 07:02:55 GMT 2024","Fri Jun 14 07:02:55 GMT 2024","18","tests.api","test_api_login","","","","test_should_return_400_if_username_or_password_too_short",""
"passed","Fri Jun 14 07:02:55 GMT 2024","Fri Jun 14 07:02:55 GMT 2024","310","tests.api","test_api_login","","","","test_should_return_422_on_wrong_username",""
"passed","Fri Jun 14 07:02:56 GMT 2024","Fri Jun 14 07:02:56 GMT 2024","26","tests.api","test_api_signup","","","","test_should_return_400_if_email_invalid",""
"passed","Fri Jun 14 07:02:55 GMT 2024","Fri Jun 14 07:02:56 GMT 2024","343","tests.api","test_api_signup","","","","test_successful_api_signup",""
"passed","Fri Jun 14 07:02:58 GMT 2024","Fri Jun 14 07:02:59 GMT 2024","696","tests","test_login","","","","test_successful_login",""
"passed","Fri Jun 14 07:02:56 GMT 2024","Fri Jun 14 07:02:56 GMT 2024","14","tests.api","test_api_signup","","","","test_should_return_400_if_password_too_short",""
"passed","Fri Jun 14 07:03:01 GMT 2024","Fri Jun 14 07:03:02 GMT 2024","165","tests.ui","test_edit","","","","test_autocomplete",""
"passed","Fri Jun 14 07:02:57 GMT 2024","Fri Jun 14 07:02:57 GMT 2024","13","tests.api","test_get_users","","","","test_get_users_no_auth_header",""
"passed","Fri Jun 14 07:02:55 GMT 2024","Fri Jun 14 07:02:55 GMT 2024","317","tests.api","test_api_login","","","","test_should_return_422_on_wrong_password",""
"passed","Fri Jun 14 07:02:56 GMT 2024","Fri Jun 14 07:02:56 GMT 2024","11","tests.api","test_api_signup","","","","test_should_return_400_if_username_too_short",""
"passed","Fri Jun 14 07:03:07 GMT 2024","Fri Jun 14 07:03:07 GMT 2024","46","tests.ui","test_home","","","","test_successful_login",""
"passed","Fri Jun 14 07:02:54 GMT 2024","Fri Jun 14 07:02:55 GMT 2024","720","tests.api","test_api_login","","","","test_successful_api_login",""
"passed","Fri Jun 14 07:03:10 GMT 2024","Fri Jun 14 07:03:11 GMT 2024","866","tests.ui","test_register","","","","test_successful_registration_and_login",""
